"Latittude","Longitude","wind_speed","mss"
"14.777475","291.6879","3.9896886","0.0094586015"
"10.5304165","132.4267","10.420111","0.024335537"
"14.97732","130.33472","9.573011","0.024469651"
"16.532057","123.02925","NaN","NaN"
"11.44754","263.205","4.399521","0.010425906"
"22.323154","265.46652","3.0240288","0.0068967026"
"23.554115","271.06497","0.7876099","0.0012014522"
"32.816788","214.49232","1.3496743","0.0022684399"
"30.91276","224.43788","5.7504187","0.013650601"
"35.234848","229.14435","7.156373","0.01709875"
"-27.269335","39.73149","5.748806","0.014709545"
"-28.858042","43.46675","6.310574","0.01671408"
"-36.058254","41.700672","5.056378","0.013991142"
"32.81484","214.51654","1.3366218","0.0022042866"
"14.754046","291.72232","4.05011","0.009994776"
"23.53122","271.10138","0.7890151","0.0011783325"
"11.428423","263.2414","4.3952923","0.010135603"
"-28.85331","43.512383","6.8114715","0.017582215"
"-27.26582","39.776836","6.361564","0.017964356"
"15.003467","130.37343","9.692007","0.024572201"
"10.557301","132.46442","10.391237","0.02477337"
"30.901283","224.48889","5.7801576","0.01383143"
"35.22198","229.19801","7.768492","0.018578805"
"22.29993","265.50854","2.9314249","0.0066391826"
"-36.053017","41.756306","4.7644916","0.01320546"
"3.599924","121.964745","3.3743262","0.007970555"
"5.738562","115.34783","2.934134","0.0065199607"
"30.894665","224.5182","5.7049565","0.013655634"
"-36.04999","41.78829","4.738228","0.01312946"
"15.029611","130.41214","9.812342","0.02469204"
"14.7228","291.7682","3.9548864","0.009797021"
"-27.261078","39.837296","6.5367017","0.017600922"
"11.402915","263.2899","4.4796157","0.010623873"
"35.2078","229.25702","8.123728","0.01916786"
"22.274372","265.55478","2.9224522","0.0065045464"
"-28.846945","43.573227","7.1888433","0.0197506"
"10.586864","132.50592","10.249917","0.02485794"
"23.500671","271.14987","0.72536993","0.0011037078"
"16.603125","123.11591","NaN","NaN"
"15.043991","130.43343","10.137966","0.02548662"
"30.881716","224.57556","5.7689095","0.013825122"
"-36.04406","41.850853","4.685748","0.012995283"
"-28.842169","43.618843","6.6537533","0.017478794"
"10.619107","132.55121","9.911436","0.023950875"
"35.192307","229.32135","8.173679","0.019070366"
"23.4701","271.19833","0.77615684","0.0011969199"
"22.246479","265.6052","2.9664237","0.006641175"
"11.377422","263.33838","4.433965","0.010367199"
"-27.256336","39.89774","6.1843705","0.01695782"
"14.691565","291.81406","4.111906","0.009841088"
"3.6677823","122.049644","3.5497453","0.008790211"
"5.804162","115.433235","3.4590225","0.008185917"
"30.867876","224.63672","5.7009234","0.013500756"
"-36.0377","41.917603","4.743175","0.013092725"
