,Unnamed: 0,Latittude,Longitude,pressure,wind_speed,humidity,temperature,mss
78,78,22.176714,265.7311,101678.86,2.879029,0.019249508,303.17383,0.006580948
79,79,30.840088,224.75896,101830.86,5.8930583,0.010353634,293.3457,0.013972861
80,80,-36.024868,42.051067,101286.86,4.7267084,0.008652279,292.81445,0.013113771
81,81,37.549488,219.23312,101366.86,4.106048,0.010376522,289.9707,0.009030539
82,82,10.715779,132.68715,101270.86,10.284019,0.019447872,303.00195,0.023582114
83,83,15.157537,130.60196,101366.86,9.948756,0.019562313,303.1582,0.025256742
84,84,23.378403,271.34372,101678.86,0.9329188,0.019249508,303.17383,0.001445419
85,85,11.30069,263.48376,101094.86,4.2884808,0.018997738,303.06445,0.009928467
86,86,35.14564,229.51425,101550.86,8.222046,0.010922024,291.9082,0.019261187
87,87,-27.241854,40.079105,101278.86,5.5029325,0.012489865,294.48633,0.014318152
88,88,-28.821182,43.816498,101510.86,8.904997,0.010002682,294.39258,0.0189449
89,89,14.597824,291.9516,101398.86,4.1565113,0.01985223,301.92383,0.010278092
90,90,32.785774,214.86893,101550.86,2.1595244,0.010922024,291.9082,0.004487152
91,91,3.7695508,122.17703,101270.86,7.002324,0.018204281,303.20508,0.00991976
92,92,22.14879,265.78143,101678.86,2.8580794,0.019249508,303.17383,0.006424181
93,93,30.826136,224.82004,101830.86,5.835516,0.010353634,293.3457,0.013757166
94,94,37.542656,219.2923,101366.86,4.4226274,0.010376522,289.9707,0.009859247
95,95,35.137836,229.54639,101550.86,8.281373,0.010922024,291.9082,0.019430488
96,96,-36.01839,42.117783,101286.86,4.6375823,0.008652279,292.81445,0.012881299
97,97,32.78315,214.89984,101550.86,2.2192366,0.010922024,291.9082,0.004629981
99,99,10.747989,132.73248,101270.86,10.114099,0.019447872,303.00195,0.024114965
100,100,23.34782,271.39218,101678.86,0.9056053,0.019249508,303.17383,0.00141342
101,101,15.188858,130.6485,101366.86,10.173487,0.019562313,303.1582,0.02546144
102,102,11.275059,263.53217,101102.86,4.2955565,0.019569943,302.9707,0.009943202
103,103,-28.81467,43.8773,101510.86,8.137135,0.010002682,294.39258,0.022498941
104,104,-27.236969,40.13952,101278.86,6.1092663,0.012489865,294.48633,0.016077964
105,105,22.12085,265.83173,101678.86,2.9334898,0.019249508,303.17383,0.006563517
106,106,32.77801,214.96033,101550.86,2.3841188,0.010922024,291.9082,0.005139335
107,107,30.812143,224.8811,101830.86,5.7198677,0.010353634,293.3457,0.013603437
108,108,37.534824,219.35991,101366.86,4.2161283,0.010376522,289.9707,0.008901161
109,109,-36.011875,42.184464,101286.86,4.5995736,0.008652279,292.81445,0.01279737
113,113,10.780183,132.77785,101270.86,10.301426,0.019447872,303.00195,0.024857238
114,114,23.317215,271.44058,101678.86,0.88769424,0.019249508,303.17383,0.001358167
115,115,11.249438,263.5806,101102.86,4.218376,0.019569943,302.9707,0.009748415
116,116,-28.80809,43.93809,101510.86,8.186525,0.010002682,294.39258,0.019173937
117,117,-27.232016,40.19992,101278.86,6.0013957,0.012489865,294.48633,0.014887529
118,118,35.11044,229.6588,101550.86,9.185737,0.010922024,291.9082,0.02146373
119,119,37.527943,219.41905,101366.86,4.0559936,0.010376522,289.9707,0.008628602
120,120,22.092897,265.88202,101678.86,2.9909015,0.019249508,303.17383,0.00664183
121,121,32.772495,215.02483,101550.86,2.4861624,0.010922024,291.9082,0.005427046
122,122,-36.005318,42.25113,101286.86,4.5640674,0.008652279,292.81445,0.012721065
123,123,15.2462635,130.73383,101366.86,10.290111,0.019562313,303.1582,0.02578026
124,124,10.812366,132.82321,101270.86,9.942842,0.019447872,303.00195,0.02433841
125,125,11.2237625,263.629,101094.86,3.8414798,0.019264767,303.14258,0.008452545
126,126,23.286617,271.48898,101678.86,0.8799369,0.019249508,303.17383,0.001356499
127,127,-28.801464,43.998905,101510.86,8.2498865,0.010002682,294.39258,0.022737816
128,128,-27.227022,40.26032,101278.86,5.7916307,0.012489865,294.48633,0.015505426
129,129,30.791107,224.97267,101830.86,5.439921,0.010353634,293.3457,0.012966849
130,130,3.8628006,122.29388,101270.86,4.4482365,0.018204281,303.20508,0.009106135
131,131,35.097347,229.71231,101550.86,8.353529,0.010922024,291.9082,0.01959189
132,132,15.259306,130.75322,101366.86,10.026457,0.019562313,303.1582,0.025429169
134,134,22.064941,265.93228,101678.86,3.106741,0.019249508,303.17383,0.007149859
135,135,32.76694,215.08931,101550.86,2.541456,0.010922024,291.9082,0.00555872
136,136,-35.99871,42.31779,101286.86,4.4328794,0.008652279,292.81445,0.012371595
137,137,3.8797498,122.31515,101190.86,4.3297653,0.018013546,302.64258,0.009960244
138,138,10.844531,132.86859,101270.86,10.447218,0.019447872,303.00195,0.025197238
139,139,35.08293,229.77115,101550.86,8.244577,0.010922024,291.9082,0.019047806
140,140,-27.221977,40.320713,101278.86,6.090547,0.012489865,294.48633,0.016448393
141,141,11.198078,263.6774,101094.86,3.8600898,0.019264767,303.14258,0.008490035
142,142,30.777035,225.03368,101830.86,5.2432756,0.010353634,293.3457,0.012461653
143,143,23.256012,271.53738,101678.86,0.95572877,0.019249508,303.17383,0.001464406
144,144,37.51509,219.52888,101366.86,4.032333,0.010376522,289.9707,0.008812021
145,145,-28.793072,44.07492,101510.86,7.4293184,0.010002682,294.39258,0.019489022
146,146,14.465019,292.14636,101398.86,3.9595954,0.01985223,301.92383,0.0097764
147,147,32.761337,215.1538,101550.86,2.5644624,0.010922024,291.9082,0.005735573
148,148,-35.99207,42.384438,101286.86,4.2835,0.008652279,292.81445,0.011969745
149,149,22.036972,265.9825,101678.86,3.0672617,0.019249508,303.17383,0.007116121
151,151,10.876687,132.914,101270.86,10.148341,0.019447872,303.00195,0.024427695
152,152,14.441575,292.18073,101398.86,4.077486,0.01985223,301.92383,0.010126514
153,153,30.76292,225.09467,101830.86,5.214345,0.010353634,293.3457,0.012300716
154,154,35.067173,229.83533,101550.86,8.54254,0.010922024,291.9082,0.019754263
155,155,23.225388,271.58575,101678.86,0.9776762,0.019249508,303.17383,0.001490187
156,156,-28.788,44.12052,101510.86,7.412874,0.010002682,294.39258,0.018897053
157,157,-27.216896,40.381104,101278.86,5.4561286,0.012489865,294.48633,0.014291524
158,158,11.172364,263.72574,101094.86,3.8321173,0.019264767,303.14258,0.008505259
159,159,15.321859,130.8464,101366.86,12.9147,0.019562313,303.1582,0.028517026
160,160,3.939068,122.38957,101190.86,4.6857014,0.018013546,302.64258,0.012492188
161,161,22.009003,266.03268,101678.86,2.937663,0.019249508,303.17383,0.006606449
162,162,32.755695,215.21826,101550.86,2.5263133,0.010922024,291.9082,0.00558841
163,163,-35.985382,42.45107,101286.86,4.1060257,0.008652279,292.81445,0.011463434
164,164,23.194782,271.63412,101678.86,0.9928046,0.019249508,303.17383,0.001499115
165,165,10.908829,132.95943,101270.86,10.070491,0.019447872,303.00195,0.024356477
166,166,11.146615,263.77408,101094.86,3.68861,0.019264767,303.14258,0.007834821
167,167,35.051376,229.89948,101550.86,8.626207,0.010922024,291.9082,0.019728003
168,168,30.748764,225.15562,101830.86,4.9382205,0.010353634,293.3457,0.011444663
169,169,14.410315,292.2265,101398.86,3.8081594,0.01985223,301.92383,0.009325286
170,170,-28.781204,44.18129,101510.86,7.3903027,0.010002682,294.39258,0.020030275
171,171,-27.211771,40.441456,101278.86,5.8339396,0.012489865,294.48633,0.015509435
173,173,37.497124,219.68094,101366.86,4.275594,0.010376522,289.9707,0.008774727
174,174,21.981022,266.0829,101678.86,2.891688,0.019249508,303.17383,0.006337669
175,175,-35.97867,42.517685,101286.86,3.938715,0.008652279,292.81445,0.01103926
176,176,32.75001,215.28271,101550.86,2.5021856,0.010922024,291.9082,0.005437857
