,mss_p,mss_anom,pressure,wind_speed,humidity,temperature,mss_anom_scaled
0,0.056561157,0.31690197069170767,101398.86,3.9896886,0.01985223,301.92383,0.16311856281628956
1,0.049513504,5.827437326646527,101270.86,10.420111,0.0194478719999999,303.00195,0.6336617041294095
2,0.049975082,2.592554333595862,101366.86,9.573011,0.019562313,303.1582,0.3574359098995308
3,0.06386821,0.2647115144565808,101094.86,4.399521,0.018997738,303.06445,0.15866203370666254
4,0.059080765,1.094107525962792,101678.86,3.0240287999999995,0.019249508,303.17383,0.2294839374668795
5,0.064058945,0.5184489259712435,101678.86,0.7876099,0.019249508,303.17383,0.1803286034626752
6,0.020401642,-0.5770070796214947,101550.86,1.3496743,0.0109220239999999,291.9082,0.08678790791393662
7,0.012991592,-0.7469599506752782,101830.86,5.750418700000001,0.010353634,293.3457,0.07227567767583222
8,0.005364105,-0.8925926423949321,101550.86,7.156372999999999,0.0109220239999999,291.9082,0.059840141051319004
9,0.042370483,-0.12758231341184992,101278.86,5.748806,0.012489865,294.48633,0.12516416858844204
10,0.03904216,-0.2546165743424306,101510.86,6.310574,0.0100026819999999,294.39258,0.11431674699843782
11,0.040535614,0.09168751235804824,101286.86,5.056378,0.008652279,292.81445,0.14388756040942982
12,0.020420715,-0.5765913127809308,101550.86,1.3366218,0.0109220239999999,291.9082,0.08682341013333555
13,0.056461975,0.3177936956787595,101398.86,4.05011,0.01985223,301.92383,0.16319470697461375
14,0.064100906,0.5194435825807094,101678.86,0.7890151,0.019249508,303.17383,0.18041353692472809
15,0.06390254,0.26539135853228935,101094.86,4.3952923,0.018997738,303.06445,0.15872008541059388
16,0.03784053,-0.2839769840080593,101510.86,6.8114715,0.0100026819999999,294.39258,0.11180966946387924
17,0.04084651,-0.16658498410558642,101278.86,6.361564,0.012489865,294.48633,0.12183374096165986
18,0.049664184,0.8537691233460404,101366.86,9.692007,0.019562313,303.1582,0.20896150549967396
19,0.049565002,5.823482068961789,101270.86,10.391237,0.0194478719999999,303.00195,0.6333239657327819
20,0.012915298,-0.7480723593711079,101830.86,5.780157599999999,0.010353634,293.3457,0.07218068939459488
21,0.0038782805,-0.9223438291072584,101550.86,7.768492,0.0109220239999999,291.9082,0.057299695169181014
22,0.059366867,1.0646154591534978,101678.86,2.9314249,0.019249508,303.17383,0.2269656177640097
23,0.041239426,0.14455617358565034,101286.86,4.7644916,0.008652279,292.81445,0.14840200126210892
24,0.06929271,5.3926617619151935,101262.86,3.3743262,0.0184865689999999,303.0957,0.5965363348540281
25,0.06876437,0.6450674884914062,101190.86,2.934134,0.018013546,302.64258,0.19114052867651238
26,0.013081238,-0.7460100256856405,101830.86,5.7049565000000015,0.010353634,293.3457,0.07235679151682281
27,0.041268036,0.1453502199227228,101286.86,4.738227999999999,0.008652279,292.81445,0.1484698046666167
28,0.049368545,0.8427340781416031,101366.86,9.812342,0.019562313,303.1582,0.20801922593886557
29,0.056685135,0.3222948587570019,101398.86,3.9548864,0.01985223,301.92383,0.1635790600868953
30,0.040432617,-0.17502991623165234,101278.86,6.5367017,0.012489865,294.48633,0.12111263046438647
31,0.06368129,0.2712355093915195,101094.86,4.4796157,0.018997738,303.06445,0.15921911589057045
32,0.0030047148,-0.9401412955693198,101550.86,8.123728,0.0109220239999999,291.9082,0.055779974264491855
33,0.05937068,1.0647481237752257,101678.86,2.9224522,0.019249508,303.17383,0.22697694596060342
34,0.036907837,-0.3016255210318333,101510.86,7.1888433,0.0100026819999999,294.39258,0.11030266560412294
35,0.049894974,5.803599021104661,101270.86,10.249917,0.0194478719999999,303.00195,0.6316261575901553
36,0.064259216,0.5231961506982399,101678.86,0.72536993,0.019249508,303.17383,0.18073396771338207
37,0.048578903,0.8132598283697513,101366.86,10.137966,0.019562313,303.1582,0.20550242762806123
38,0.012962982,-0.7483061188707798,101830.86,5.7689095,0.010353634,293.3457,0.07216072873339187
39,0.0414149,0.149426324453028,101286.86,4.685748,0.008652279,292.81445,0.14881786214308998
40,0.038227722,-0.27665049522313884,101510.86,6.6537533,0.0100026819999999,294.39258,0.11243527638316458
41,0.050673172,5.909712892161741,101270.86,9.911436,0.0194478719999999,303.00195,0.6406871926799922
42,0.00290744,-0.9420791640920232,101550.86,8.173679,0.0109220239999999,291.9082,0.0556145001892481
43,0.064137146,0.5186728878880927,101678.86,0.77615684,0.019249508,303.17383,0.18034772751089947
44,0.05925624,1.1209275455259737,101678.86,2.9664237,0.019249508,303.17383,0.23177409176952843
45,0.06382625,0.27412923828605046,101094.86,4.433965,0.018997738,303.06445,0.1594662106275037
46,0.041289017,-0.15755630091089842,101278.86,6.1843705,0.012489865,294.48633,0.12260469780667103
47,0.05632083,0.313796744312126,101398.86,4.111905999999999,0.01985223,301.92383,0.1628534083656321
48,0.06884639,5.2439478597746,101262.86,3.5497453,0.0184865689999999,303.0957,0.5838376944951476
49,0.06750552,0.5808278296230884,101190.86,3.4590225,0.018013546,302.64258,0.18565512137427687
50,0.013092682,-0.7457878231193366,101830.86,5.7009234000000015,0.010353634,293.3457,0.0723757653345742
51,0.041233703,0.14439736431823585,101286.86,4.743175,0.008652279,292.81445,0.14838844058120737
52,0.0027987212,-0.9442450171468093,101550.86,8.207985,0.0109220239999999,291.9082,0.05542955857574036
53,0.059298202,1.1224294575693958,101678.86,2.9580462000000005,0.019249508,303.17383,0.231902339637519
54,0.05142276,6.0119255179593685,101270.86,9.617949,0.0194478719999999,303.00195,0.6494151014797616
55,0.064209625,0.28178238970448105,101094.86,4.272379,0.018997738,303.06445,0.16011971118176144
